+2025-07-07 16:54:55.207 | INFO     | arb.utils.sql_alchemy | user:anonymous | 331   | sql_alchemy.py       | type(table)=<class 'sqlalchemy.orm.decl_api.DeclarativeMeta'>
+2025-07-07 16:54:55.416 | DEBUG    | arb.utils.sql_alchemy | user:anonymous | 339   | sql_alchemy.py       | Query result: type(rows)=<class 'list'>
+2025-07-07 16:54:55.463 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:55] "GET / HTTP/1.1" 200 -
+2025-07-07 16:54:55.489 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:55] "GET /static/css/portal_styles_01.css HTTP/1.1" 304 -
+2025-07-07 16:54:55.493 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:55] "GET /static/js/delete_confirmation.js HTTP/1.1" 304 -
+2025-07-07 16:54:55.500 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:55] "GET /static/images/carb_logo_01.jpg HTTP/1.1" 304 -
+2025-07-07 16:54:57.686 | DEBUG    | arb.portal.routes | user:anonymous | 311   | routes.py            | upload_file route called.
+2025-07-07 16:54:57.686 | DEBUG    | arb.portal.routes | user:anonymous | 321   | routes.py            | Files received: [], upload_folder=C:\tony_local\pycharm\feedback_portal\portal_uploads
+2025-07-07 16:54:57.694 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /upload HTTP/1.1" 200 -
+2025-07-07 16:54:57.720 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/css/portal_styles_01.css HTTP/1.1" 304 -
+2025-07-07 16:54:57.727 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/js/delete_confirmation.js HTTP/1.1" 304 -
+2025-07-07 16:54:57.731 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/css/upload.css HTTP/1.1" 304 -
+2025-07-07 16:54:57.732 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/images/upload_icon.png HTTP/1.1" 304 -
+2025-07-07 16:54:57.735 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/js/file_upload.js HTTP/1.1" 304 -
+2025-07-07 16:54:57.737 | INFO     | werkzeug         | user:anonymous | 97    | _internal.py         | 127.0.0.1 - - [07/Jul/2025 16:54:57] "GET /static/images/carb_logo_01.jpg HTTP/1.1" 304 -
+2025-07-07 16:55:01.315 | DEBUG    | arb.portal.routes | user:anonymous | 311   | routes.py            | upload_file route called.
+2025-07-07 16:55:01.315 | DEBUG    | arb.portal.routes | user:anonymous | 321   | routes.py            | Files received: ['file'], upload_folder=C:\tony_local\pycharm\feedback_portal\portal_uploads
+2025-07-07 16:55:01.315 | DEBUG    | arb.portal.routes | user:anonymous | 335   | routes.py            | Received uploaded file: landfill_operator_feedback_v070_test_01.xlsx
+2025-07-07 16:55:01.315 | DEBUG    | arb.portal.utils.db_ingest_util | user:anonymous | 250   | db_ingest_util.py    | upload_and_update_db() called with request_file=<FileStorage: 'landfill_operator_feedback_v070_test_01.xlsx' ('application/vnd.openxmlformats-officedocument.spreadsheetml.sheet')>
+2025-07-07 16:55:01.315 | DEBUG    | arb.utils.web_html | user:anonymous | 48    | web_html.py          | Attempting to upload request_file.filename='landfill_operator_feedback_v070_test_01.xlsx'
+2025-07-07 16:55:01.315 | DEBUG    | arb.utils.web_html | user:anonymous | 50    | web_html.py          | Upload single file as: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_55_01.xlsx
+2025-07-07 16:55:01.315 | DEBUG    | arb.portal.utils.file_upload_util | user:anonymous | 38    | file_upload_util.py  | Adding uploaded file to upload table: file_name=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_55_01.xlsx')
+2025-07-07 16:55:01.527 | DEBUG    | arb.portal.utils.file_upload_util | user:anonymous | 46    | file_upload_util.py  | model_uploaded_file=<Uploaded File: 650, Path: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_55_01.xlsx, Description: None, Status: File Added>
+2025-07-07 16:55:01.527 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 472   | xl_parse.py          | Excel upload detected: C:\tony_local\pycharm\feedback_portal\portal_uploads\landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_55_01.xlsx
+2025-07-07 16:55:01.527 | DEBUG    | arb.utils.excel.xl_parse | user:anonymous | 182   | xl_parse.py          | parse_xl_with_schema_dict() called with xl_path=WindowsPath('C:/tony_local/pycharm/feedback_portal/portal_uploads/landfill_operator_feedback_v070_test_01_ts_2025_07_07_23_55_01.xlsx'), schema_map=None
